,,,,,,,,,
,,,,,,,,,
,Bay Type,Category,Concept,VM Requirements,Level,Concept,Design,Copy,Production
,Brand Wall/Gondola,Makeup,Brand,Lightbox,Brand,,,,
,,,,Product Grid,SKU,,,,
,Brand Wall/Gondola,Skincare,Functions - Brand,Lightbox,Function,,,,
,,,,POP Box,Brand,,,,
,,,,Risers/Testers,SKU,,,,
,,,,Glorifier,Hero SKU,,,,
,,,,Callout,SKU,,,,
,Brand Wall/Gondola,Skincare/Hair/Body,Big brands,Lightbox,Brand,,,,
,,,,POP Box,Brand,,,,
,,,,Risers/Testers,SKU,,,,
,,,,Glorifier,Hero SKU,,,,
,,,,Callout,SKU,,,,
,Category Wall/Gondola,"Serum, Sun, Cleanser, Moisturiser, Hair","Functions, Routine, Benefits, Texture, Ingredients, Lifestyle etc.",Lightbox,Category,,,,
,,,,POP Box,Category,,,,
,,,,Risers/Testers,Category,,,,
,,,,Callout,SKU,,,,
,Endcap,NA,Themes,Lightbox,Theme,,,,
,,,,POP Box,Theme,,,,
,,,,Risers/Testers,Theme,,,,
,,,,Callout,SKU,,,,
,Special Display,NA,,Risers/Testers,Theme,,,,
,,,,Callout,SKU,,,,
